t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0041,0.484436,0.488352,0.514266,0.515687,0.486718,0.527588,0.493736,0.521446,0.465821,0.496985,0.485353,0.527397,0.460094,0.559971,0.54942,0.496793,0.478859,0.507036,0.536383,0.528815,0.535933,0.504779,0.520001,0.496065,1.19655,4.02587,1.22096,0.541897,0.517668,0.525347,0.506942,0.499374,0.492206,0.485474,0.501277,0.519681,0.489233,0.514588,0.487638,0.51069,0.475099,0.518185,0.493168,0.519104,0.568425,0.486328,0.505981,0.506662,0.502922,0.463679,0.0202639
0.0042,0.48448,0.487989,0.514793,0.515291,0.487034,0.528573,0.493417,0.520822,0.466298,0.497165,0.485893,0.526954,0.460714,0.558971,0.5504,0.496593,0.478919,0.507644,0.536248,0.528167,0.537162,0.504112,0.520266,0.499262,1.22588,3.96328,1.24962,0.545266,0.51768,0.525179,0.506977,0.499566,0.492467,0.485737,0.500874,0.51996,0.489328,0.514431,0.488143,0.510974,0.474929,0.517931,0.494009,0.518903,0.568858,0.486068,0.506399,0.506384,0.502748,0.464135,0.020231
0.0043,0.484527,0.487633,0.515302,0.514901,0.487357,0.529553,0.493099,0.520191,0.46678,0.49735,0.486434,0.526491,0.461369,0.557943,0.551383,0.496391,0.478992,0.508249,0.536108,0.527523,0.538385,0.503452,0.520536,0.502654,1.25535,3.9,1.27841,0.548845,0.51769,0.525007,0.507014,0.499754,0.49274,0.485998,0.500483,0.520209,0.48944,0.514269,0.488653,0.511245,0.474783,0.517655,0.494861,0.518711,0.569265,0.485824,0.506813,0.506113,0.502562,0.4646,0.020262
0.0044,0.484578,0.487286,0.51579,0.514518,0.487686,0.53053,0.492782,0.519554,0.467268,0.497542,0.486976,0.526007,0.46206,0.55689,0.552366,0.496189,0.479077,0.508851,0.535961,0.526882,0.5396,0.502799,0.52081,0.506246,1.28495,3.83607,1.3073,0.552639,0.517698,0.524833,0.507051,0.49994,0.493025,0.486256,0.500103,0.52043,0.489568,0.514104,0.489168,0.511502,0.474661,0.51736,0.495726,0.518528,0.569645,0.485596,0.50722,0.50585,0.502364,0.465073,0.0202398
0.0045,0.484631,0.486946,0.516257,0.514142,0.488021,0.531501,0.492466,0.51891,0.467759,0.497739,0.487519,0.525502,0.462786,0.555813,0.553348,0.495985,0.479176,0.50945,0.535809,0.526247,0.540807,0.502154,0.521091,0.510045,1.31463,3.77155,1.33626,0.556654,0.517705,0.524656,0.507089,0.500122,0.493322,0.486511,0.499736,0.520622,0.489712,0.513935,0.489687,0.511745,0.474562,0.517045,0.496601,0.518353,0.569999,0.485383,0.507622,0.505595,0.502154,0.465555,0.0202219
0.0046,0.484687,0.486615,0.516703,0.513775,0.488362,0.532468,0.492152,0.518262,0.468256,0.497943,0.488062,0.524978,0.463546,0.554712,0.554328,0.495781,0.479287,0.510045,0.535651,0.525616,0.542005,0.501518,0.521378,0.514055,1.34437,3.70649,1.36526,0.560896,0.517712,0.524476,0.507129,0.500302,0.49363,0.486763,0.499381,0.520784,0.489873,0.513763,0.49021,0.511975,0.474487,0.51671,0.497487,0.518189,0.570325,0.485185,0.508017,0.505348,0.501932,0.466044,0.020251
0.0047,0.484745,0.486293,0.517127,0.513416,0.488709,0.533429,0.49184,0.517607,0.468756,0.498153,0.488605,0.524434,0.464339,0.55359,0.555305,0.495577,0.479411,0.510636,0.535488,0.524992,0.543191,0.500891,0.521675,0.518283,1.37413,3.64096,1.39425,0.565371,0.517722,0.524293,0.507169,0.500478,0.493951,0.487012,0.499039,0.520916,0.49005,0.513589,0.490736,0.512191,0.474436,0.516358,0.498382,0.518034,0.570625,0.485003,0.508406,0.50511,0.501699,0.466541,0.020766
0.0048,0.484806,0.485981,0.517528,0.513066,0.489061,0.534385,0.491529,0.516949,0.46926,0.498369,0.489147,0.523872,0.465164,0.552448,0.556278,0.495374,0.479548,0.511222,0.535319,0.524374,0.544366,0.500274,0.52198,0.522735,1.40386,3.575,1.4232,0.570085,0.517734,0.524109,0.507211,0.500652,0.494283,0.487258,0.498711,0.521019,0.490243,0.513412,0.491266,0.512394,0.474408,0.515988,0.499286,0.517889,0.570898,0.484837,0.508788,0.504881,0.501454,0.467046,0.0202639
0.0049,0.484869,0.485678,0.517905,0.512726,0.489419,0.535334,0.491221,0.516285,0.469767,0.498591,0.489688,0.523292,0.46602,0.551287,0.557246,0.495173,0.479698,0.511803,0.535144,0.523765,0.545527,0.499669,0.522297,0.527415,1.43355,3.50866,1.45209,0.575042,0.51775,0.523922,0.507253,0.500822,0.494626,0.487501,0.498396,0.521092,0.490452,0.513233,0.491799,0.512584,0.474404,0.5156,0.500198,0.517755,0.571143,0.484687,0.509162,0.50466,0.501197,0.467559,0.020273
0.005,0.484934,0.485386,0.518259,0.512398,0.489782,0.536277,0.490915,0.515618,0.470277,0.49882,0.490229,0.522695,0.466906,0.550108,0.558207,0.494973,0.479861,0.512379,0.534964,0.523163,0.546675,0.499075,0.522625,0.532328,1.46316,3.44201,1.48088,0.580248,0.517771,0.523733,0.507297,0.50099,0.49498,0.48774,0.498095,0.521135,0.490677,0.513053,0.492333,0.51276,0.474424,0.515196,0.501118,0.517632,0.571362,0.484552,0.509529,0.50445,0.500929,0.468079,0.0203171
